,loss,accuracy,time,efficiency,max_pooling_size,convolutional_activation,convolutional,kernel_try,kernel_size,dropout,dense_activation,node_variation,node_num,layer,batch_size,epoch,split_iteration
60,2.1105499267578125,0.3559496998786926,160.1153531074524,0.0022230828772542323,2,relu,1,32,3,0.3,relu,equal,2000,25,60,20,0
61,1.859557032585144,0.3586711585521698,130.64503717422485,0.002745386784756739,2,relu,1,32,3,0.3,relu,ascending,2000,25,60,20,0
62,2.5370261669158936,0.21903152763843536,169.8667631149292,0.0012894313379612824,2,relu,1,32,3,0.3,relu,descending,2000,25,60,20,0
63,1.7523939609527588,0.3704954981803894,127.80353689193726,0.0028989455784283764,2,relu,1,32,3,0.3,relu,interleaved,2000,25,60,20,0
64,2.828650951385498,0.175018772482872,118.23306012153625,0.0014802862439910085,2,relu,1,32,3,0.3,relu,equal,500,30,60,20,0
65,2.199913501739502,0.2805930972099304,114.22397089004517,0.0024565167453339224,2,relu,1,32,3,0.3,relu,ascending,500,30,60,20,0
66,1.732625126838684,0.3756569027900696,117.818776845932,0.0031884298313612997,2,relu,1,32,3,0.3,relu,descending,500,30,60,20,0
67,2.0985586643218994,0.27402400970458984,113.80357694625854,0.002407868162474297,2,relu,1,32,3,0.3,relu,interleaved,500,30,60,20,0
68,2.066431999206543,0.28425300121307373,128.02777099609375,0.0022202448656373666,2,relu,1,32,3,0.3,relu,equal,1000,30,60,20,0
69,1.7508859634399414,0.39057809114456177,117.94597578048706,0.003311499935118421,2,relu,1,32,3,0.3,relu,ascending,1000,30,60,20,0
70,2.1406402587890625,0.28791290521621704,134.49905014038086,0.0021406315131275153,2,relu,1,32,3,0.3,relu,descending,1000,30,60,20,0
71,2.3973026275634766,0.23742492496967316,121.52975702285767,0.0019536361364156894,2,relu,1,32,3,0.3,relu,interleaved,1000,30,60,20,0
72,2.2065720558166504,0.33830705285072327,135.6502330303192,0.0024939658804353708,2,relu,1,32,3,0.3,relu,equal,1500,30,60,20,0
73,2.30708646774292,0.2591966986656189,123.82555603981018,0.002093240740887823,2,relu,1,32,3,0.3,relu,ascending,1500,30,60,20,0
74,2.216085433959961,0.2708333432674408,151.81877207756042,0.0017839252653754755,2,relu,1,32,3,0.3,relu,descending,1500,30,60,20,0
75,2.523047685623169,0.20429804921150208,122.21464323997498,0.0016716331512775598,2,relu,1,32,3,0.3,relu,interleaved,1500,30,60,20,0
76,2.004392623901367,0.3015202581882477,150.91593980789185,0.0019979351324457,2,relu,1,32,3,0.3,relu,equal,2000,30,60,20,0
77,1.7957323789596558,0.3779091536998749,123.22480893135071,0.0030668268587895346,2,relu,1,32,3,0.3,relu,ascending,2000,30,60,20,0
78,1.8305326700210571,0.37124624848365784,168.18898701667786,0.0022073160381591724,2,relu,1,32,3,0.3,relu,descending,2000,30,60,20,0
79,2.0299994945526123,0.284065306186676,130.368812084198,0.0021789360633524373,2,relu,1,32,3,0.3,relu,interleaved,2000,30,60,20,0
80,0.4621031582355499,0.8962087035179138,129.53724479675293,0.006918540724901837,2,relu,1,32,3,0.3,relu,equal,500,10,60,20,1
81,0.431602418422699,0.9039039015769958,115.95810890197754,0.007795090055677691,2,relu,1,32,3,0.3,relu,ascending,500,10,60,20,1
82,0.27819496393203735,0.9345908164978027,151.47059607505798,0.006170113808984329,2,relu,1,32,3,0.3,relu,descending,500,10,60,20,1
83,1.2136576175689697,0.612424910068512,111.528635263443,0.005491189851125645,2,relu,1,32,3,0.3,relu,interleaved,500,10,60,20,1
84,0.30994707345962524,0.9303678870201111,157.31036591529846,0.005914218567904511,2,relu,1,32,3,0.3,relu,equal,1000,10,60,20,1
85,0.2623584568500519,0.942379891872406,127.8878231048584,0.007368800789577326,2,relu,1,32,3,0.3,relu,ascending,1000,10,60,20,1
86,0.21593721210956573,0.958990216255188,173.1540379524231,0.005538364727703816,2,relu,1,32,3,0.3,relu,descending,1000,10,60,20,1
87,0.25717124342918396,0.9438813924789429,128.02585983276367,0.007372583896034026,2,relu,1,32,3,0.3,relu,interleaved,1000,10,60,20,1
88,0.2054568976163864,0.9579579830169678,177.6226921081543,0.005393218465767133,2,relu,1,32,3,0.3,relu,equal,1500,10,60,20,1
89,0.2463022917509079,0.9358108043670654,152.54643988609314,0.006134596160132206,2,relu,1,32,3,0.3,relu,ascending,1500,10,60,20,1
90,0.20492471754550934,0.9612424969673157,202.17275619506836,0.0047545599865090205,2,relu,1,32,3,0.3,relu,descending,1500,10,60,20,1
91,0.2931518256664276,0.9362800121307373,143.8224539756775,0.006509971052844615,2,relu,1,32,3,0.3,relu,interleaved,1500,10,60,20,1
92,0.2710167467594147,0.9453828930854797,199.2056918144226,0.004745762455252463,2,relu,1,32,3,0.3,relu,equal,2000,10,60,20,1
93,0.3476751744747162,0.9192942976951599,161.57773876190186,0.0056894860934389975,2,relu,1,32,3,0.3,relu,ascending,2000,10,60,20,1
94,0.23831233382225037,0.9611486196517944,235.74355506896973,0.0040770939395166,2,relu,1,32,3,0.3,relu,descending,2000,10,60,20,1
95,0.22934626042842865,0.9557057023048401,162.49853897094727,0.0058813187389685296,2,relu,1,32,3,0.3,relu,interleaved,2000,10,60,20,1
96,0.6018698811531067,0.8082770109176636,117.81856393814087,0.0068603536140708615,2,relu,1,32,3,0.3,relu,equal,500,15,60,20,1
97,0.8394622206687927,0.7281343936920166,110.1647310256958,0.006609505482495846,2,relu,1,32,3,0.3,relu,ascending,500,15,60,20,1
98,1.0352532863616943,0.6567192077636719,129.63316178321838,0.00506598156467003,2,relu,1,32,3,0.3,relu,descending,500,15,60,20,1
99,1.588072657585144,0.41535285115242004,115.26075601577759,0.003603592979171194,2,relu,1,32,3,0.3,relu,interleaved,500,15,60,20,1
100,0.5783124566078186,0.8512575030326843,135.90453910827637,0.006263642911547493,2,relu,1,32,3,0.3,relu,equal,1000,15,60,20,1
101,0.6521205306053162,0.7782469987869263,122.36744904518127,0.006359918465731659,2,relu,1,32,3,0.3,relu,ascending,1000,15,60,20,1
102,0.4911951422691345,0.8551989197731018,162.52617287635803,0.005261915078894372,2,relu,1,32,3,0.3,relu,descending,1000,15,60,20,1
103,1.077338457107544,0.6286599040031433,124.23074197769165,0.005060421390029474,2,relu,1,32,3,0.3,relu,interleaved,1000,15,60,20,1
104,0.30705177783966064,0.9280217885971069,163.86653304100037,0.005663278348391678,2,relu,1,32,3,0.3,relu,equal,1500,15,60,20,1
105,0.4202878177165985,0.8857920169830322,137.04939532279968,0.006463304817191491,2,relu,1,32,3,0.3,relu,ascending,1500,15,60,20,1
106,0.35172006487846375,0.911880612373352,178.65358805656433,0.00510418302981207,2,relu,1,32,3,0.3,relu,descending,1500,15,60,20,1
107,1.213114619255066,0.5833333134651184,129.2267599105835,0.0045140287806391425,2,relu,1,32,3,0.3,relu,interleaved,1500,15,60,20,1
108,0.4697590470314026,0.8845720887184143,158.80923438072205,0.0055700293006751824,2,relu,1,32,3,0.3,relu,equal,2000,15,60,20,1
109,0.39606428146362305,0.893674910068512,146.51732802391052,0.006099448591655118,2,relu,1,32,3,0.3,relu,ascending,2000,15,60,20,1
110,0.36112621426582336,0.9137575030326843,183.4904808998108,0.004979863252588089,2,relu,1,32,3,0.3,relu,descending,2000,15,60,20,1
111,0.8892472982406616,0.6361674070358276,142.10066199302673,0.00447687855998198,2,relu,1,32,3,0.3,relu,interleaved,2000,15,60,20,1
112,1.5273433923721313,0.4542980492115021,113.13150310516357,0.004015663513187839,2,relu,1,32,3,0.3,relu,equal,500,20,60,20,1
113,2.1665170192718506,0.283689945936203,106.0109932422638,0.002676042712739185,2,relu,1,32,3,0.3,relu,ascending,500,20,60,20,1
114,1.3534748554229736,0.5313438177108765,118.33853793144226,0.00449003196252689,2,relu,1,32,3,0.3,relu,descending,500,20,60,20,1
115,1.663170576095581,0.4022147059440613,107.06836700439453,0.0037566156764822305,2,relu,1,32,3,0.3,relu,interleaved,500,20,60,20,1
116,0.7014119625091553,0.7613551020622253,121.03655767440796,0.006290290443572378,2,relu,1,32,3,0.3,relu,equal,1000,20,60,20,1
117,1.2747344970703125,0.5249624848365784,120.58015489578247,0.004353639164672693,2,relu,1,32,3,0.3,relu,ascending,1000,20,60,20,1
118,1.3029544353485107,0.6102665066719055,149.97056198120117,0.004069241980625521,2,relu,1,32,3,0.3,relu,descending,1000,20,60,20,1
119,2.130589485168457,0.29870495200157166,118.47132802009583,0.002521326948836967,2,relu,1,32,3,0.3,relu,interleaved,1000,20,60,20,1
120,0.7186216711997986,0.7398648858070374,152.18677616119385,0.004861558306638838,2,relu,1,32,3,0.3,relu,equal,1500,20,60,20,1
121,1.2152647972106934,0.5557432174682617,123.98405003547668,0.004482376703368231,2,relu,1,32,3,0.3,relu,ascending,1500,20,60,20,1
122,1.045303225517273,0.6586899161338806,173.43716287612915,0.003797859150892157,2,relu,1,32,3,0.3,relu,descending,1500,20,60,20,1
123,1.3051925897598267,0.5347222089767456,128.3798279762268,0.004165157543876478,2,relu,1,32,3,0.3,relu,interleaved,1500,20,60,20,1
124,1.2493606805801392,0.5555555820465088,162.97443294525146,0.0034088511431307656,2,relu,1,32,3,0.3,relu,equal,2000,20,60,20,1
125,1.1184420585632324,0.626783013343811,141.44319701194763,0.004431340825044184,2,relu,1,32,3,0.3,relu,ascending,2000,20,60,20,1
126,0.8763554096221924,0.6869369149208069,185.84222221374512,0.003696344709711506,2,relu,1,32,3,0.3,relu,descending,2000,20,60,20,1
127,1.6198915243148804,0.4622747600078583,120.53081798553467,0.0038353241746300728,2,relu,1,32,3,0.3,relu,interleaved,2000,20,60,20,1
128,1.817548155784607,0.3602665066719055,104.90719103813171,0.003434145010526072,2,relu,1,32,3,0.3,relu,equal,500,25,60,20,1
129,2.343750476837158,0.2720533013343811,114.67039513587952,0.002372480717555822,2,relu,1,32,3,0.3,relu,ascending,500,25,60,20,1
130,1.9608376026153564,0.3578265905380249,122.5310628414154,0.002920292881170372,2,relu,1,32,3,0.3,relu,descending,500,25,60,20,1
131,2.6519570350646973,0.1895645707845688,107.76269793510437,0.0017590926583772634,2,relu,1,32,3,0.3,relu,interleaved,500,25,60,20,1
132,1.14841628074646,0.5741366147994995,127.85917806625366,0.004490382493323985,2,relu,1,32,3,0.3,relu,equal,1000,25,60,20,1
133,1.8262059688568115,0.3935810923576355,118.52408504486084,0.0033206845022989784,2,relu,1,32,3,0.3,relu,ascending,1000,25,60,20,1
134,1.2862666845321655,0.5223348140716553,142.46201086044312,0.003666484917044576,2,relu,1,32,3,0.3,relu,descending,1000,25,60,20,1
135,2.2208175659179688,0.28275150060653687,119.73977971076965,0.0023613831701504756,2,relu,1,32,3,0.3,relu,interleaved,1000,25,60,20,1
136,1.2524189949035645,0.5621246099472046,142.06651997566223,0.003956770462481263,2,relu,1,32,3,0.3,relu,equal,1500,25,60,20,1
137,2.492448568344116,0.19735360145568848,126.49926114082336,0.0015601166336931217,2,relu,1,32,3,0.3,relu,ascending,1500,25,60,20,1
138,2.2465057373046875,0.3366178572177887,166.83179593086243,0.002017708047435323,2,relu,1,32,3,0.3,relu,descending,1500,25,60,20,1
139,1.8479180335998535,0.36101725697517395,125.07040405273438,0.0028865122785000003,2,relu,1,32,3,0.3,relu,interleaved,1500,25,60,20,1
140,2.066758394241333,0.28969594836235046,158.2096951007843,0.0018310884688691517,2,relu,1,32,3,0.3,relu,equal,2000,25,60,20,1
141,1.2929152250289917,0.5024399161338806,128.95175075531006,0.003896340400118149,2,relu,1,32,3,0.3,relu,ascending,2000,25,60,20,1
142,1.5904970169067383,0.4416291415691376,180.47087001800537,0.002447093769343921,2,relu,1,32,3,0.3,relu,descending,2000,25,60,20,1
143,2.270020008087158,0.23742492496967316,127.80406284332275,0.0018577259571218527,2,relu,1,32,3,0.3,relu,interleaved,2000,25,60,20,1
144,1.932985782623291,0.33286410570144653,116.32918500900269,0.002861398071994455,2,relu,1,32,3,0.3,relu,equal,500,30,60,20,1
145,1.8320040702819824,0.36139264702796936,112.55016994476318,0.003210947146551017,2,relu,1,32,3,0.3,relu,ascending,500,30,60,20,1
146,3.501058340072632,0.05461711809039116,118.70961308479309,0.0004600901028240965,2,relu,1,32,3,0.3,relu,descending,500,30,60,20,1
147,3.501072883605957,0.05461711809039116,115.26365923881531,0.0004738450822321171,2,relu,1,32,3,0.3,relu,interleaved,500,30,60,20,1
148,1.606082558631897,0.41882508993148804,125.58386468887329,0.003335023101646878,2,relu,1,32,3,0.3,relu,equal,1000,30,60,20,1
149,2.2383995056152344,0.2576013505458832,112.25734186172485,0.002294739446647406,2,relu,1,32,3,0.3,relu,ascending,1000,30,60,20,1
150,2.6055424213409424,0.17999249696731567,132.3171751499176,0.001360310910230521,2,relu,1,32,3,0.3,relu,descending,1000,30,60,20,1
151,2.2714908123016357,0.25563064217567444,116.40973424911499,0.00219595589513699,2,relu,1,32,3,0.3,relu,interleaved,1000,30,60,20,1
152,2.0248525142669678,0.32282280921936035,135.87900805473328,0.0023758107587106055,2,relu,1,32,3,0.3,relu,equal,1500,30,60,20,1
153,2.5760223865509033,0.17802177369594574,125.04558110237122,0.001423655055432982,2,relu,1,32,3,0.3,relu,ascending,1500,30,60,20,1
154,1.7843328714370728,0.36242491006851196,160.35411190986633,0.0022601535174366335,2,relu,1,32,3,0.3,relu,descending,1500,30,60,20,1
155,1.6893407106399536,0.3989301919937134,121.69968008995056,0.003277988830363863,2,relu,1,32,3,0.3,relu,interleaved,1500,30,60,20,1
156,2.5313632488250732,0.1946321278810501,157.6392502784729,0.0012346679366796566,2,relu,1,32,3,0.3,relu,equal,2000,30,60,20,1
157,1.9187275171279907,0.3229166567325592,131.20346188545227,0.002461190063829893,2,relu,1,32,3,0.3,relu,ascending,2000,30,60,20,1
158,1.8672951459884644,0.33933934569358826,172.61909198760986,0.001965827428393292,2,relu,1,32,3,0.3,relu,descending,2000,30,60,20,1
159,1.9836835861206055,0.35200825333595276,129.2049961090088,0.002724416732608137,2,relu,1,32,3,0.3,relu,interleaved,2000,30,60,20,1
